accountNo,name,interestRate,accountStatus,country,currency,action
11905889863605,3cc94efe-5ff5-4fc6-b238-37fa7b9ea228,13,DORMANT,MY,MYR,ADD
83991509842727,6236da6f-04d4-4913-a578-481e584561a3,9,DORMANT,MY,SGD,ADD
33734975965601,15b1c90d-2437-4c49-9e5a-94356dd50ae3,15,ACTIVE,US,MYR,REMOVE
9912045846952,8fb71442-367a-4245-98c7-7e7c5cda2865,11,ACTIVE,SG,MYR,REMOVE
92535274302119,e5c36a83-29fb-4e05-9a13-22ccd1991197,0,ACTIVE,MY,USD,ADD
46343265551167,9b80d7e6-6d73-4571-9d14-94cae2529e84,14,CLOSE,MY,MYR,REMOVE
29017776607696,339692f6-b8e5-46a9-a592-c0928d8dc994,11,DORMANT,US,MYR,REMOVE
85140124991826,3147d771-d365-4a39-8007-9ff0bd6e465d,12,ACTIVE,SG,MYR,ADD
8497192620109,e0f19303-a43a-4590-94bb-a8faa165f7ef,10,ACTIVE,SG,USD,ADD
54542871235623,ed54deb3-84a9-4402-8a50-62d6055272fb,0,ACTIVE,MY,MYR,REMOVE
72501225450925,a54022f2-b20e-4b08-9833-c98d0377f051,3,DORMANT,US,MYR,ADD
69418881384795,59a7af14-31d7-427d-9643-c2801f32a9f9,14,CLOSE,US,USD,ADD
2341751745285,31abbdbf-85be-4241-8dbf-16e566cc19c6,13,CLOSE,MY,USD,REMOVE
93940927589831,9cf2e35e-6545-433c-83e8-5d9a4fbf12fa,6,CLOSE,SG,MYR,REMOVE
11048806353553,811ff20e-ceac-4811-8f6f-1d913b56fea7,10,CLOSE,US,MYR,REMOVE
44386420081446,ae57ca17-e9ac-461c-ab42-e332566b6c92,12,CLOSE,MY,MYR,REMOVE
19901071336801,07a2efc2-871e-49ba-9739-402d458ace6c,8,DORMANT,US,SGD,ADD
33799239880581,19d6584f-24d9-417d-ae55-08b06384191f,13,CLOSE,SG,USD,ADD
6947827037238,14b1cf46-fe89-4394-95b9-9f0fd95dab99,12,CLOSE,US,SGD,ADD
12228497279021,94426fbb-10b5-4ba7-a58d-5e737dcb74f8,6,ACTIVE,MY,MYR,REMOVE
15450829924480,ba7e9ad0-5ea7-4daa-a5f2-5fbdd079f660,13,DORMANT,US,MYR,REMOVE
21545732841330,7a23b65c-060b-43b6-a874-77e02621f4ce,2,DORMANT,US,SGD,REMOVE
81912505215211,276cff09-4d52-46b3-96ce-11ffeef11e3c,12,DORMANT,SG,MYR,REMOVE
62609999257245,838edac9-9f7c-46bb-85ed-70cb909c5c54,7,CLOSE,SG,SGD,ADD
81929897144138,99194e20-61b1-4098-ae2f-01470905c91b,1,CLOSE,MY,USD,REMOVE
88458066587480,488dd377-733e-46b8-960a-8922cd5d5ca8,8,CLOSE,US,MYR,REMOVE
96681826823832,fb484303-f2f0-4563-84ca-661a874e2484,2,CLOSE,MY,USD,REMOVE
23438344960566,4a47f826-2c76-4a8e-82b2-89754b4b8303,4,DORMANT,US,SGD,REMOVE
21854484983752,c60e2bcd-7804-4656-ba5c-f98755a17c10,0,CLOSE,US,MYR,REMOVE
64234138994856,04e01600-2007-4030-b6f1-1a5b0e9216b5,1,CLOSE,SG,USD,ADD
