accountNo,name,interestRate,accountStatus,country,currency,action
95532926420731,11a27593-5862-4ab6-b590-17d6a180912b,0,ACTIVE,SG,USD,ADD
825790937593,1e5ee294-7ae0-4188-919d-50eb69336f59,4,CLOSE,SG,SGD,ADD
77625377443292,79db1f0b-993a-461c-9536-fd3e94827106,8,ACTIVE,US,SGD,ADD
17652638383516,e8974553-a8e7-47f9-a075-db6201ed38d1,14,ACTIVE,US,MYR,ADD
91497123166461,259a193e-759d-414d-b99b-51d4685126ac,5,CLOSE,MY,USD,ADD
92222781280914,dc7c08e8-331a-4737-b36e-c6c54d57e25e,11,CLOSE,MY,MYR,ADD
41706915390830,e568d4ea-9f5d-4029-ab80-696663e5a5e7,5,DORMANT,SG,MYR,REMOVE
81889239324982,b4a4eea0-8aef-42c5-be4d-2ba931cabecb,3,CLOSE,MY,USD,REMOVE
11925515283121,444e7c90-6202-40b3-8d73-f2620244aebd,6,ACTIVE,US,USD,ADD
53929657419334,e41d68f4-d334-4974-8b46-5190d3e42e32,7,ACTIVE,MY,USD,REMOVE
87309854307461,1aa90160-4e7c-4520-8242-3c7e23917456,2,ACTIVE,MY,SGD,REMOVE
34343204332925,9e9b8cc2-4d44-4101-a14a-a1079c394e77,0,CLOSE,SG,USD,ADD
31603058413066,47f6af5b-7a0f-4c02-9c0c-a6114f6f44eb,1,DORMANT,SG,MYR,REMOVE
31284359899192,c47591bc-95a3-4ec6-b35f-6f95dbef1486,7,CLOSE,US,MYR,REMOVE
58216214004732,85b46ee3-6748-43e1-be63-bd2724d5e0a2,15,DORMANT,SG,SGD,REMOVE
68457724769800,7193f5d6-5392-4b13-bd8e-8e1db8a48a28,14,DORMANT,SG,USD,ADD
11782459939699,b7868c8b-a66d-43a7-b127-522349df8a25,4,ACTIVE,US,MYR,ADD
17019927836316,fb0ebebf-e7fe-4dd1-a0f8-80ca8aaa4247,4,ACTIVE,SG,SGD,ADD
6976017357999,b7767fd5-89ae-46ca-af21-7c877d2c5564,11,DORMANT,MY,SGD,REMOVE
75324594590034,3f54aff8-610a-4d5f-840d-5c6fad2a1103,1,ACTIVE,US,USD,ADD
96382093587116,18ac2042-4db0-4f80-81d0-c2aaef75ce45,3,ACTIVE,SG,SGD,REMOVE
25719436293472,cfa28ecf-3c15-4984-8a45-de4e79fb0a5c,10,DORMANT,US,USD,ADD
2270065116741,9e84fde2-63e5-4cae-bedd-984c4f66b12d,12,ACTIVE,SG,SGD,ADD
38194491937427,78516e7d-cb91-4540-853e-d43cc9d6bca9,15,ACTIVE,US,USD,ADD
53789796049780,d6bf87e0-0bf6-4bd9-927b-8697039948b5,5,ACTIVE,SG,MYR,ADD
68655427660508,ca8787bf-edfd-4b7b-ae10-d48fa5dd9791,13,CLOSE,US,MYR,REMOVE
62978778178504,695682eb-56a0-4e8a-8daf-1497b0538726,7,DORMANT,US,USD,REMOVE
18828971873309,a94b7de2-de20-42ac-af71-54568314fed9,15,CLOSE,SG,MYR,REMOVE
42748294597018,e003197c-68b6-4074-962d-672e539590e7,6,ACTIVE,SG,SGD,REMOVE
5688634026724,5040b448-be6d-4068-aaf1-f5554be3ada5,1,CLOSE,SG,USD,REMOVE
46749297190407,bddcc8ec-93df-486f-93df-ceba3942d1fe,12,DORMANT,MY,MYR,ADD
46599125523299,d9336972-8d01-4430-9278-91f1bd48278c,14,CLOSE,US,MYR,ADD
56989601172466,3ffed0de-443b-40cb-8758-a27e96e8c75e,11,CLOSE,SG,USD,ADD
76055283049136,0135158f-388c-46c0-819c-45a5e4f22063,7,ACTIVE,US,SGD,REMOVE
58359211975393,69cdacec-c37d-4e42-8bff-72fdb84fce82,6,CLOSE,MY,SGD,REMOVE
68535986475565,8b1bf138-44db-4f43-8d37-776675f1cb3a,1,CLOSE,SG,SGD,ADD
80202462419745,aa836d5a-8a67-4bf7-a7c8-83a6eb684f0d,10,DORMANT,US,MYR,ADD
46354862920491,c4229bbe-44af-4678-b346-34a25122e9a1,1,DORMANT,US,USD,ADD
91810661242576,9c8f550b-3fd1-49db-a4db-1ea1a231cf7f,6,CLOSE,SG,USD,REMOVE
88235515391358,6e6b0108-1382-4166-85b2-07f88d2f1e07,14,DORMANT,SG,MYR,ADD
8848008071956,78ab7bbd-dfdd-4b03-b086-6f7c892a66db,1,DORMANT,SG,SGD,REMOVE
54264743420005,70410489-7856-41d3-9a4a-e80a079209a5,6,ACTIVE,SG,MYR,REMOVE
99406346947717,f466fac2-e4f7-4f68-aa4b-29672787a309,12,ACTIVE,US,MYR,ADD
60925677727174,79139bd9-1f23-493e-9165-f801667ae167,13,ACTIVE,SG,USD,REMOVE
12748594903635,c8ce6a88-090e-4063-bd50-f06b3a0efa3c,13,CLOSE,MY,MYR,ADD
14450821877574,421d3e64-c368-418a-bd4a-af26789768cd,8,CLOSE,SG,MYR,REMOVE
30936504873091,2123b002-ace6-47c5-86ed-8d4fadfddef4,15,DORMANT,MY,USD,REMOVE
74424198303735,edf286b0-22eb-43ef-94d2-a79832364df4,13,CLOSE,MY,USD,ADD
77301313197265,b5196b15-c717-47e6-a946-2664cef15c9e,0,ACTIVE,US,MYR,REMOVE
37620913829715,c53bf0ed-cd27-412f-9315-e20e1156b833,6,DORMANT,SG,USD,REMOVE
92233116758052,3ecda791-dfb3-4d54-afdd-5f3d2af9626a,10,DORMANT,US,SGD,ADD
38523492011648,9cf0cdcb-ec2f-46af-b07f-6bf4a6cb47d9,5,DORMANT,US,MYR,REMOVE
45564663009148,74187f62-b798-4a52-9ffd-1896af6158ba,15,CLOSE,MY,USD,REMOVE
98936409449049,fa8d6493-0284-4032-ad11-8d6b59be6e82,15,CLOSE,SG,SGD,ADD
99727477070790,749b3a73-6d08-4a80-97c7-f37e918547d1,4,ACTIVE,MY,MYR,REMOVE
38776379986111,78c91e84-0b7c-4fab-b289-24d1fc5cecba,13,ACTIVE,US,USD,ADD
49538386522963,4eb7d0cf-5e34-437d-a567-aa8f4758520b,11,ACTIVE,US,USD,ADD
2317546542800,7d1dd089-25ea-4ae0-b9f0-674a78b2c3a7,9,ACTIVE,US,SGD,REMOVE
910714027511,f0ae6a2f-f5ee-4c77-aeb9-11f4a6f1b1d4,4,ACTIVE,MY,MYR,REMOVE
79145343014564,797f739d-dd21-47c2-9e34-aae202a1c37e,3,CLOSE,MY,SGD,ADD
63991905561060,1dcccdca-c451-4738-a3cf-97ff1dfa25cb,14,CLOSE,US,USD,ADD
32887604991719,5aa483d0-1395-4dea-b611-75d0f64fe1d8,9,ACTIVE,SG,SGD,REMOVE
18777266737116,63f70730-d4b9-48ca-a84f-a82b2d101291,5,DORMANT,MY,SGD,ADD
28306527622426,58d7c0cb-e169-4158-ab2d-6a2f2ee30cb0,2,DORMANT,MY,SGD,ADD
95447004042296,27a1e689-01d3-450c-98c9-20c788de74fc,15,ACTIVE,MY,USD,ADD
34697980396593,0b965388-c72d-4c83-b8ed-1a78d58e5160,2,ACTIVE,US,MYR,REMOVE
30656876442751,89bdf4c2-86dc-4326-82bb-0e23ce8b8e5b,9,CLOSE,US,MYR,ADD
36822168260972,0dec11d1-09c8-43ad-aa6c-a6c783fc306e,8,DORMANT,US,MYR,REMOVE
48922442410694,7cc3b61f-192c-4e55-9f39-d854831465ef,13,CLOSE,SG,SGD,REMOVE
15768558058994,74d0a0ab-454f-485d-ae65-712f9ad53184,14,DORMANT,MY,MYR,ADD
46821706279406,e6a1b77a-9f4c-45dd-a815-767152f8cd6d,0,DORMANT,US,USD,ADD
34150746780447,6a764945-3153-42d3-9d71-eab0e8b6bac7,15,CLOSE,MY,SGD,ADD
84690622356974,fe36f510-6e24-49fa-8a5b-fda0c0b744cd,9,DORMANT,SG,MYR,REMOVE
60024758771801,4c299ae0-bf51-4dc7-b5c3-e76108f686c7,8,DORMANT,US,SGD,ADD
75918322451561,bf01f05d-d966-42f8-acd4-9e37d8859278,1,DORMANT,MY,MYR,REMOVE
67930446451455,c8f02cc8-1e90-40b3-a4c8-942664deb76f,6,DORMANT,US,SGD,REMOVE
53555342146815,c01948aa-7839-46c6-b94c-37bf0a328453,3,ACTIVE,MY,MYR,REMOVE
40190825964179,1f94fcfd-fb52-4d05-ae0f-e93f9d5cc06d,4,DORMANT,MY,MYR,REMOVE
79406113475100,504bbe13-295e-4aee-a2ae-46046a340f8b,14,CLOSE,MY,SGD,REMOVE
79356902923851,dc265a8d-4285-4f13-880b-3cb658b83cd1,6,CLOSE,SG,USD,ADD
42360615555053,3f7c23b2-228b-46f2-9d80-2dc3296c7a97,10,CLOSE,US,SGD,REMOVE
36139796582018,2e09f946-d784-47ce-b105-762598ba91db,9,ACTIVE,SG,USD,ADD
66163386545935,56f8b189-5ecf-4b22-9ec6-cb1f21fb4333,7,DORMANT,MY,USD,ADD
97749762899279,aa570c4f-57fb-45d0-a69c-db7453117ca8,13,DORMANT,MY,MYR,REMOVE
19261572230772,963a26fb-851f-4020-8c7e-e8b3a39b0abc,3,CLOSE,US,MYR,REMOVE
43170182127840,f0852203-ae4f-472f-9987-647ba8a601b9,5,CLOSE,MY,SGD,ADD
50393945415912,e5bb4860-e4b1-4d59-9d24-9ab7b0c952eb,15,ACTIVE,US,MYR,ADD
47928708339182,3fa051c0-585b-412f-a631-063d80d1f408,14,ACTIVE,MY,USD,ADD
1806896729162,72ee8897-a2b3-419a-9625-b9cc045f8496,14,DORMANT,US,USD,ADD
24883742622316,cb0d21d1-16c9-441a-ad93-9255bbf310d9,11,ACTIVE,SG,USD,ADD
14902865506796,2300a04e-1c99-4f98-8a0d-ae29636c32ab,9,ACTIVE,MY,USD,ADD
46960763862474,fb2aca8a-5d4e-4f6f-ac8f-06b6d618e280,12,CLOSE,MY,MYR,REMOVE
19961020137993,400a5695-2a38-44a2-9388-c26a7380e182,9,ACTIVE,US,MYR,REMOVE
22610239714678,52a7ea3b-f422-4f6b-bc54-55517ec7a225,11,CLOSE,US,MYR,ADD
85188235932102,d64b597f-0c15-4971-b793-e16734047200,4,CLOSE,MY,SGD,ADD
55785401248716,48bef5b9-b499-41f2-9127-433c2b589103,8,DORMANT,SG,USD,ADD
35480444021129,d4fbba47-a62a-466e-94fa-df5880bb3e4d,8,DORMANT,MY,SGD,REMOVE
13829905746407,cb4bb485-c147-430e-a815-bc7ab000afb1,14,CLOSE,SG,SGD,REMOVE
81989260519583,61da7b64-f62d-4573-b11e-2694154c9528,1,DORMANT,US,SGD,ADD
14120227624659,72da40fd-4408-472b-ae0a-a1329d4ac006,3,DORMANT,US,USD,REMOVE
98509407977586,f9683a9e-ae4a-4d19-b0a4-17f23f52d1b7,0,ACTIVE,SG,USD,REMOVE
94224475253588,89c93ff3-a892-4a0a-9f48-361b63f85a11,6,ACTIVE,US,SGD,REMOVE
60290341026121,24c0c7c4-fa29-4899-bf4d-7320cf3a06dc,8,DORMANT,MY,USD,REMOVE
89732189216563,35b579f5-56df-49a5-99aa-9a5d07c9a96b,11,ACTIVE,SG,USD,REMOVE
67968519460284,17712084-cb1e-4bb0-bea7-a3892f073283,8,DORMANT,US,MYR,ADD
20169603985996,870c2789-de03-40cf-aa02-415154833de5,12,ACTIVE,SG,MYR,REMOVE
66698256644555,ff63740c-4fa1-4604-9feb-c4f3d7f47385,6,DORMANT,SG,USD,REMOVE
69172430384160,508fbc67-55b0-4695-93ff-3d95155723e0,2,ACTIVE,MY,MYR,REMOVE
92451212346948,6e8d6dc9-70a3-42a0-b37e-3ed8c96db97e,12,DORMANT,MY,SGD,REMOVE
31340917636776,735d9df5-a8b4-49ba-91d9-7645a077b7cd,8,ACTIVE,SG,USD,ADD
35442508130956,a568642d-4fc5-4598-94c3-f9ce77d06f12,10,DORMANT,US,SGD,REMOVE
46140938841178,59817cb6-1217-4af0-831e-5f6833df13ec,2,DORMANT,SG,MYR,ADD
61328654117217,22791744-b7a6-4764-b42d-ff8c6182b775,1,CLOSE,MY,MYR,REMOVE
27294962560695,78e44150-c2e0-4735-af32-dad6b363706a,13,CLOSE,MY,USD,ADD
15864943858796,00e1a567-a56f-4856-a0ca-93e818891b5a,5,CLOSE,US,MYR,ADD
55284306506324,e7910d53-2fcd-43ba-87df-757de6ffd4aa,10,CLOSE,MY,SGD,ADD
23654607873364,a76189d6-cc3b-4e32-8713-a884ada91d12,1,DORMANT,US,SGD,ADD
60644862776056,5b98e2b7-ab7b-4245-bff7-c386dbe7d5ce,14,ACTIVE,US,USD,REMOVE
68548873275263,9a4a68d1-ec3c-4caa-a667-bc5994a02530,3,CLOSE,SG,SGD,REMOVE
57812045788828,746635f9-acc1-4f67-b878-1cca390f80d3,14,CLOSE,MY,USD,ADD
6195657125174,87be4bf5-8ac8-4971-b858-33f0801a99b9,12,DORMANT,MY,USD,ADD
78636235653705,e985a11a-efa6-421a-a0a1-aa490a584e55,14,DORMANT,US,MYR,REMOVE
33375133942462,a184f3d5-cb6c-453a-a747-bb59b969fa37,7,CLOSE,SG,MYR,REMOVE
48961076609325,d480d360-8d6d-4c88-b216-4454ec830749,2,DORMANT,US,USD,REMOVE
30085691106707,a912b035-0854-4605-9732-63d27f51a27b,13,ACTIVE,MY,USD,REMOVE
49032597717467,2d100ae9-9d43-4f0b-aa91-59d4f2ced5f9,7,DORMANT,US,MYR,ADD
31807735352388,5974470d-9b23-4689-bfbf-fbd78dd672c1,15,ACTIVE,MY,USD,ADD
76668801917187,82ba92cf-38ea-4d27-8da8-61acaa50b163,6,CLOSE,MY,USD,REMOVE
81803599172058,8842e825-843f-4e75-8424-ae45ba43200a,3,CLOSE,SG,SGD,ADD
30092143952344,d353b2b9-479e-493f-9684-3bf9bd9d5951,1,DORMANT,SG,MYR,ADD
24592511090786,a22b664c-da1f-4844-b54e-84d048f403e6,11,ACTIVE,US,USD,REMOVE
30224520800242,c5b81478-54a0-45f4-9240-92cb1c7a4405,6,CLOSE,MY,SGD,ADD
